Anno;Sesso;Provenienza;Reato;<=1 Mese;1 Mese - 3 Mesi;3 Mesi - 6 Mesi;6 Mesi - 12 Mesi;1 Anno - Anni;2 Anni - 3 Anni;3 Anni - 5 Anni;5 Anni - 10 Anni;>10 Anni
2014;F;Paese Estero;Percosse;1;0;0;0;0;0;0;0;0
2014;F;Paese Estero;Stalking;0;1;3;2;2;0;0;0;0
2014;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;1;2;1;1
2014;F;Paese Estero;Maltrattamenti;1;1;0;10;9;1;0;0;0
2015;M;Italia;Omicidi Volontari;0;0;0;0;0;0;7;33;337
2015;M;Italia;Percosse;8;6;3;0;0;0;0;0;0
2015;M;Italia;Stalking;2;28;211;372;240;33;2;2;4
2015;M;Italia;Violenze Sessuali;0;0;14;118;395;110;178;150;17
2015;M;Italia;Maltrattamenti;3;11;65;517;773;148;39;1;6
2015;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;1;21;90
2015;M;Paese Estero;Percosse;2;2;3;3;0;0;0;0;0
2015;M;Paese Estero;Stalking;0;4;36;67;48;7;2;2;7
2015;M;Paese Estero;Violenze Sessuali;0;2;6;49;200;64;128;133;19
2015;M;Paese Estero;Maltrattamenti;0;7;28;172;358;80;13;3;35
2015;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;4;11
2015;F;Italia;Percosse;3;2;0;1;0;0;0;0;0
2015;F;Italia;Stalking;0;4;26;25;12;0;0;0;0
2015;F;Italia;Violenze Sessuali;0;0;0;0;4;2;1;3;0
2015;F;Italia;Maltrattamenti;0;0;4;20;37;1;9;1;1
2015;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;5;7
2015;F;Paese Estero;Percosse;0;0;2;0;0;0;0;0;0
2015;F;Paese Estero;Stalking;0;2;9;4;2;0;0;0;0
2015;F;Paese Estero;Violenze Sessuali;0;0;0;0;1;1;0;2;1
2015;F;Paese Estero;Maltrattamenti;0;1;2;21;20;5;5;0;2
2016;M;Italia;Omicidi Volontari;0;0;0;0;1;2;4;42;386
2016;M;Italia;Percosse;2;12;9;3;0;0;0;0;0
2016;M;Italia;Stalking;5;30;188;482;241;34;11;5;0
2016;M;Italia;Violenze Sessuali;1;2;8;79;353;87;151;127;12
2016;M;Italia;Maltrattamenti;3;8;43;470;839;194;32;10;6
2016;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;0;21;132
2016;M;Paese Estero;Percosse;2;7;3;3;0;0;0;0;0
2016;M;Paese Estero;Stalking;0;3;26;76;57;13;3;3;0
2016;M;Paese Estero;Violenze Sessuali;0;0;2;51;215;71;122;140;7
2016;M;Paese Estero;Maltrattamenti;0;2;16;153;433;106;23;42;41
2016;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;7;13
2016;F;Italia;Percosse;1;1;0;2;0;0;0;0;0
2016;F;Italia;Stalking;1;13;26;39;13;0;0;0;0
2016;F;Italia;Violenze Sessuali;0;0;0;1;3;1;4;2;2
2016;F;Italia;Maltrattamenti;1;1;2;36;42;12;1;0;0
2016;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;3;4
2016;F;Paese Estero;Percosse;0;0;0;1;0;0;0;0;0
2016;F;Paese Estero;Stalking;0;1;5;6;6;0;0;1;0
2016;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;0;2;1;0
2016;F;Paese Estero;Maltrattamenti;0;0;1;10;28;6;2;2;5
2017;M;Italia;Omicidi Volontari;0;0;0;1;0;0;4;58;412
2017;M;Italia;Percosse;6;10;5;1;1;0;0;0;0
2017;M;Italia;Stalking;1;23;205;474;336;43;14;1;0
2017;M;Italia;Violenze Sessuali;0;0;6;84;406;114;200;145;19
2017;M;Italia;Maltrattamenti;4;6;30;435;986;231;53;6;1
2017;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;7;79
2017;M;Paese Estero;Percosse;2;2;1;0;0;0;0;0;0
2017;M;Paese Estero;Stalking;3;4;35;76;62;14;1;0;0
2017;M;Paese Estero;Violenze Sessuali;0;0;3;44;218;69;173;129;12
2017;M;Paese Estero;Maltrattamenti;1;1;6;130;426;123;27;2;0
2017;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;2;20
2017;F;Italia;Percosse;1;0;0;0;0;0;0;0;0
2017;F;Italia;Stalking;1;9;34;51;12;0;0;0;0
2017;F;Italia;Violenze Sessuali;0;0;0;0;2;0;4;3;2
2017;F;Italia;Maltrattamenti;1;0;0;31;57;6;2;1;0
2017;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;2
2017;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2017;F;Paese Estero;Stalking;0;0;10;12;1;0;0;0;0
2017;F;Paese Estero;Violenze Sessuali;0;0;0;1;1;1;2;1;1
2017;F;Paese Estero;Maltrattamenti;0;0;2;17;29;6;1;0;0
